Question ID,Exam,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,Subject,Topic,Subtopic,Classification Status
Q002833,69th BPSC,"India’s first ‘Kisan Rail’ started its journey on 8<sup>th</sup> August, 2020 between which of the following two stations?",Ghaziabad and Howrah,Devlali (Maharashtra) and Danapur (Bihar),Nashik and New Delh,Nashik and Ahmedabad,(B) (B) Devlali and Danapur,"India's first 'Kisan Rail' started its journey between Deolali (Maharashtra) and Danapur (Bihar) on 8 Augus 2020.

Note:- Under the 'Operation Greens-Top to Total scheme of the Ministry of Food Processing Industrie (MoFPI), 50 percent freight subsidy is also given on transportation of fruits and vegetables through the services of Kisan Rail trains.",Current Affairs,Bihar Current Affairs,"India’s first ‘Kisan Rail’ started its journey on 8<sup>th</sup> August, 2020 between which of the following two stations?",CLASSIFIED
Q002834,69th BPSC,"Who from Bihar has been conferred the Padma Bhushan Award on 26<sup>th</sup> January, 2021?",Mridula Sinha,Ram Vilas Paswan (posthumously),Dulari Devi,Ramchandra Monjhi,(B) (B) Ram Vilas Paswan (posthumously),"106 persons have been honored with the Padma Award 2023. 19 women are also included among the honourees.

list of padma awards 2023

• Padma Vibhushan- 6
• Padma Bhushan – 9
• Padma Shri – 91",Bihar Polity & Governance,Important Personalities,"Who from Bihar has been conferred the Padma Bhushan Award on 26<sup>th</sup> January, 2021?",CLASSIFIED
Q002835,69th BPSC,"How many from Bihar were conferred the Padma Shri Award in different fields on 26<sup>th</sup> January, 2021?",Four,Three,Two,Five,(A) (A) Four,"A total of 119 people were given the Padma Award for the year 2021. In which a total of one person from Bihar was awarded Padma Vibhushan and four persons were awarded Padma Shri award.

• Padma Bhushan (2021) :- Ram Vilas Paswan (posthumously)

In this award, it has been announced to give Padma Shri to 3 people from Bihar.

Bihari to receive Padma Shri 2023

• Anand Kumar – Literature and Education
• Kapildev Prasad – Art
Shubhadra Devi – Art",Bihar Economy,Bihar Budget,"How many from Bihar were conferred the Padma Shri Award in different fields on 26<sup>th</sup> January, 2021?",CLASSIFIED
Q002836,69th BPSC,"Who from Bihar was conferred the Padma Shri Award for great contribution in the field of Medicine on 26<sup>th</sup> January, 2021?",Dr. Ramkumar Yadav,Dr. Rajbahadur,Dr. Randeep Guleria,Dr. Dilip Kumar Singh,(D) (D) Dr. Dilip Kumar Singh,"Dr. Dilip Kumar Singh, resident of Bhagalpur, Bihar, is 93 years old and still treats patients. In view of his service, the Government of India honored him with the Padma Shri Award 2021, one of the country's highest honours.",Bihar Polity & Governance,Important Personalities,"Who from Bihar was conferred the Padma Shri Award for great contribution in the field of Medicine on 26<sup>th</sup> January, 2021?",CLASSIFIED
Q002837,69th BPSC,Who from Bihar had received the Param Vir Chakra’ for exemplary bravery in 1971 Indo-Pak War?,Albert Ekka (B) Sanjay Kumar,,Karam Singh (D) Piru Singh,,(A) (A) Albert Ekka,"Lance Naik Albert Ekka (1942-71) was an Indian soldier. He was martyred in the India-Pakistan war of 1971. He was posthumously awarded the Paramvir Chakra. He was born on 27 December 1942 in Gumla district (present day Jharkhand).

Note:- 21 soldiers have been awarded the highest gallantry award, Param Vir Chakra, although no Navy member has received this award. Till now 20 were from the Indian Army and one from the Air Force. In December 2022, the Government of India has named 21 islands of the Union Territory of Andaman and Nicobar after brave soldiers.",History of India,Indian National Movement,Who from Bihar had received the Param Vir Chakra’ for exemplary bravery in 1971 Indo-Pak War?,CLASSIFIED
Q002838,69th BPSC,Who among the following from Bihar has received and Dadasaheb Phalke Award?,Ashok Kumar,Shatrughan Sinha,Mohan Mishra,Sharda Sinha,(A) (A) Ashok Kumar,"Ashok Kumar was awarded the Dadasaheb Phalke Award in 1988 and the Padma Bhushan in 1998 for his contribution to Indian cinema.
Year 2022 Bollywood actress Asha Parekh was honored with the Dadasaheb Phalke Award
Dadasaheb Phalke International Film Festival Awards-2023",Art & Culture,Bihar Culture,Who among the following from Bihar has received and Dadasaheb Phalke Award?,CLASSIFIED
Q002839,69th BPSC,"Which Indian journalist and media personality, a native of Bihar, has received the Magsaysay Award for the year 2019?",Deepak Chaurasia,Ravish Kumar,Meenakshi Joshi,Pankaj Bhargava,(B) (B) Ravish Kumar,"Journalist Ravish Kumar was honored with the 2019 Ramon Magsaysay Award.
Ravish Kumar was the sixth journalist to receive this award
Acharya Vinoba Bhave was the first Indian to be honored with this prestigious award. Mother Teresa was the first Indian woman to be honored with this award
This award is considered the Asian version of the Nobel Prize.
This award for the year 2023 was given to Tibetan spiritual leader Dalai Lama.",Current Affairs,National,"Which Indian journalist and media personality, a native of Bihar, has received the Magsaysay Award for the year 2019?",CLASSIFIED
Q002840,69th BPSC,Which poor girl from Bihar is the receipient of the “Women’s Creativity in Rural Life Award” conferred by the Women’s World Summit Foundation for uplifting her community?,Ariba Falak,Choti Kumari Singh,Prema Mahato,Reena Mandal,(B) (B) Choti Kumari Singh,Chhoti Kumari Singh of Bhojpur district of Bihar was given the award for Women Creativity in Rural Life by the Women World Summit Foundation of Switzerland Chhoti started the work of making Musahars literate and social in her district in 2014. Choti is the youngest winner to win this award.,Society,Bihar Society,Which poor girl from Bihar is the receipient of the “Women’s Creativity in Rural Life Award” conferred by the Women’s World Summit Foundation for uplifting her community?,CLASSIFIED
Q002841,69th BPSC,"The Fifth International Dharma-Dhamma conference was organized by India Foundation in collaboration with Nalanda University on 27- 28 July, 2019 in which of the following towns/ cities?",Rajgir,Patna,Nalanda,Gaya,(A) (A) Rajgir,"• The fifth International Dharma-Dhamma Conference was organized in Rajgir, Bihar between July 27-28, 2019, the conference was inaugurated by Union Minister Karan Rijiju.
6th International Dharma-Dhamma Conference on November 7, 2021 at Nalanda University located in Rajgir, Nalanda district of Bihar
• It was inaugurated by Vice President of India Venkaiah Naidu.

Theme of the 6th International Dharma-Dhamma Conference – ‘Dharma-Dhamma traditions in building the world order after Covid infection’.
The 7th International Dharma-Dhamma Conference organized by India Foundation in collaboration with Sanchi University of Buddhist-Indian Knowledge Studies was inaugurated by the President of India Draupadi Murmu on March 3, 2023 in Bhopal.
Theme of the 7th International Dharma-Dhamma Conference – “Eastern Humanism for the New Age”",History of India,Buddhism & Jainism,"The Fifth International Dharma-Dhamma conference was organized by India Foundation in collaboration with Nalanda University on 27- 28 July, 2019 in which of the following towns/ cities?",CLASSIFIED
Q002842,69th BPSC,"In total, how many medals India won in Tokyo Paralympics held in August and September 2021?",31,22,19,12,(C) (C) 19,,Current Affairs,Science & Technology,"In total, how many medals India won in Tokyo Paralympics held in August and September 2021?",CLASSIFIED
Q002843,69th BPSC,What is ‘Central Vista Redevelopment Project’?,ISRO's satellite project,World class airport construction project,Bullet Train Project,"If refers to the ongoing redevelopment project to revamp the central administrative area located near Raisina Hilla, New Delhi.",(D) (D) If refers to the ongoing redevelopment project to revamp the central administrative area located near Raisina Hilla. New Delhi..,"The Central Vista Renovation Project, sponsored by the Government of India, is an ongoing redevelopment project to revitalize New Delhi, the capital of India, located along the Rajpath, from Raisina Hill to India Gate. A new Parliament building and new residential complex were constructed under the Central Vista Project. In this, several new office buildings along with the residence of the Prime Minister and the Vice President and the Central Secretariat for the offices of the Ministry are to be constructed.

The Central Vista project was announced in September 2019. On December 10, 2020, Prime Minister Narendra Modi laid the foundation stone of the project. The Chief Architect of the Central Vista Project is Dr. Bimal Patel.
Central Vista Avenue was inaugurated by Prime Minister Narendra Modi in September 2022. During the occasion, the statue of Netaji Subhash Chandra Bose was also unveiled at India Gate.

Note:-

Netaji's hologram statue was unveiled on Parakram Diwas on 23 January.
In September 2022, the statue of Subhash Chandra Bose was unveiled by Prime Minister Modi at Kartya Perth near India Gate. , The new Parliament building was inaugurated by Indian Prime Minister Narendra Modi on 28 May 2023 The architect of the new Parliament House is Vimal Hasmukh Patel.",Geography,Disaster Management,What is ‘Central Vista Redevelopment Project’?,CLASSIFIED
Q002844,69th BPSC,"‘Good Governance Day’, which commemorates the birth anniversary of India’s fromer Prime Minister Atal Bihari Vajpayee, is celebrated every year on :",17 August,27 November,25 December,23 January,(C) (C) 25 December,"Former Prime Minister of India Atal Bihari Vajpayee's birthday, 25 December, is celebrated every year as Good Governance Day. In the year 2014, he was honored with Bharat Ratna, India's highest civilian honour.

Good Governance Week was celebrated on 20-2 December, 2021 in which a film on “Governance Towards Village” was shown.

Good Governance Week – 2022 was celebrated from December 19 to December 25, 2022 with the theme “Prashasan Gaon Ki Aur”.",Indian Polity,Governance,"'Good Governance Day’, which commemorates the birth anniversary of India’s fromer Prime Minister Atal Bihari Vajpayee, is celebrated every year on :",CLASSIFIED
Q002845,69th BPSC,The highest railway bridge in the world is built over which of the following rivers?,Ganga,Sutlej,Chenab,Brahmaputra,(C) (C) Chenab,"Indian Railways is constructing the world's highest railway bridge over the Chenab River in Reasi district of Jammu and Kashmir. The length of this railway arch bridge is 1315 meters. At the same time, its height above the river is 359 meters. The height of Chenab Railway Bridge is 35 meters higher than the Eiffel Tower in Paris.

Chenab River is a tributary of Indus River which is called Chandrabhag in Himachal Pradesh. This river originates in the form of two rivers named Chandra and Bhaga from either side of Badalacha La Pass in Lahaul. Jhelum, Ravi etc. are tributaries of Chenab.

Note:- The area between Chenab and Jhelum rivers is called ""Chaj Doab"". The Ravi and Chenab river region is called ""Rachna Doab"".",Geography,Rivers,Kosi River,CLASSIFIED
Q002846,69th BPSC,Who among the following launched ‘One Nation One Ration Card’ scheme under the National Food Security Act?,"Shanta Kumar, former Union Minister","Rajiv Gandhi, former Prime Minister","Ram Vilas Paswan, former Union Minister","Kalpanath Rai, former Union Minister","(C) (C) Ram Vilas Paswan, former Union Minister","The “One Nation, One Ration Card” scheme is a flagship scheme of the Central Government that allows eligible beneficiaries to obtain food grains under the National Food Security Act from any fair price shop in India. This scheme was started by former Union Minister Ram Vilas Paswan.

Note:

Within a short span of time since its launch in August, 2019, the scheme has now been implemented in all 36 States/UTs across the country.
Assam is the last state to join the One Nation One Ration Card scheme.
Currently 'Mera Ration' mobile application is available in 12 languages.",Indian Economy,Development,One Nation One Ration Card,CLASSIFIED
Q002847,69th BPSC,‘Mission Indradhanush' launched in 2014 and ‘Intensified Mission Indradhanush 3.0’ scheme are related to:,Space mission,Rainwater harvesting,Immunization of all children and all pregnant women.,Missile technology,(C) (C) Immunization of all children and al pregnant women,"Mission Indradhanush was launched on 25 December 2014 by the Ministry of Health and Family Welfare to provide complete immunization coverage to children up to 2 year of age and pregnant women in the country.
‘Composite Mission Indradhanush 3.0’ was launched on February 19, 2019, focusing on unvaccinated children and pregnant women during the COVID-19 pandemic.
Mission Indradhanush 4.0 (three phases in 416 districts) was launched by Union Health Minister Mansukh Mandaviya on 7 February 2022. Through which, work is being done to remove the health related problems of about 3 crore women and 2.5 crore children by vaccinating them on a war footing.

Note:- Mission Indradhanush has also been identified as one of the flagship schemes under Gram Swaraj Abhiyan (16,850 villages in 541 districts) and Expanded Gram Swaraj Abhiyan (48,929 villages in 112 aspirational districts).",Indian Economy,Development,Mission Indradhanush,CLASSIFIED
Q002848,69th BPSC,In which State has the Archaeological Survey of India (ASI) unearthed 900-year-old Buddhist monastery?,Chhattisgarh,West Bengal,Bihar,Jharkhand,(D) (D) Jharkhand,"The Archaeological Survey of India (ASI) discovered a 900-year-old Buddhist monastery in Hazaribagh district of Jharkhand. Ten stone statues of Tara and Buddha have been found during excavation in Burhani village near Juljul mountain of Sitagarhi hills.

Important discoveries related to Buddhist site:

Kapilvastu – The stupa site at Piprahawa (nea Siddharthnagar, UP) was excavated in the year 1898 and another stupa was excavated by the Archaeological Survey of India during the year 1971-77.

Note:- On the occasion of ""Mongolian Buddhist Full Moon Celebration"", four sacred relics of Lord Buddha were taken from India to Mongolia for an 11-day exhibition.",History of India,Mauryan Empire,Ashoka,CLASSIFIED
Q002849,69th BPSC,Which has become the only city in India in 2020 to be recognized as a ‘Tree City of the World’ in recognition of the City’s commitment to grow and maintain urban forest?,Shimla,Imphal,Bengaluru,Hyderabad,(D) (D) Hyderabad,"Hyderabad recognized as ‘2020 Tree City of the World’ by The ARBOR Day Foundation and Food and Agriculture Organization of the United Nations (FAO).
FAO and Arbor Day Foundation have jointly recognized Mumbai and Hyderabad as the ‘2021 Tree City of the World’.

3 capitals of Andhra Pradesh:

• Visakhapatnam – Executive Capital
• Amravati – legislative capital
• Kurnool – Judiciary Capital",Geography,Biodiversity,Tree City of the World,CLASSIFIED
Q002850,69th BPSC,"According to the World Air Quality Report, 2020, which of the following capitals has been found as the most polluted capital?",Beijing,Moscow,Kathmandu,New Delhi,(D) (D) New Delhi,"Delhi has been ranked as the 4th most polluted capita city in the world in the World Air Quality Report 2022.

World Air Quality Report-2022

5 most polluted countries – Chad, Iraq, Pakistan, Bahrain, Bangladesh

The most polluted city in the world was Lahore. After that there was Hotan in China and Bhiwadi in Rajasthan.
New Delhi is the second most polluted capital city in the world with Chad's N'Djamena topping the list.

Note:- The first Air Quality Database 2022 was released by the World Health Organization (WHO) on World Health Day (7 April).",Indian Economy,Development,World Air Quality Report,CLASSIFIED
Q002851,69th BPSC,Rajiv Gandhi Khel Ratna Award was renamed after which of the following players?,Sunin Gavaskar,Kapil Dev Nikhanj,Major Dhyan Chand,Sachin Ramesh Tendulkar,(C) (C) Major Dhyanchand,"After the strong performance of the Indian women's and men's teams in hockey in the Tokyo Olympics, Prime Minister Narendra Modi has changed the name of the country's highest sports award Rajiv Gandhi Khel Ratna to Major Dhyan Chand Khel Ratna Award.
National Sports Day National Sports Day is celebrated on 29 August to commemorate the birth anniversary of hockey legend Dhyan Chand
Major Dhyan Chand Khel Ratna Award 2022 wa given to Achanta Sharath Kamal who is a table tennis player.

Arjuna Award 2022

Nikhat Zareen (Boxing), Seema Punia (Athletics) Deep Grace Ekka (Hockey), Shushila Devi (Judo) Sakshi Kumari (Kabaddi), Jarlin Anika J (Deaf Badminton) etc.

Dronacharya Award 2022

Jeevanjot Singh Teja (archery), Mohammad Al Qamar (boxing), Suma Siddharth Shirur (para shooting), Sujit Mann (wrestling).",Indian Polity,Awards,Rajiv Gandhi Khel Ratna Award,CLASSIFIED
Q002852,69th BPSC,Which country has won the most Gold Medals in the Tokyo Olympics 2020 to be held in the year 2021?,USA,UK,China,Russia,(A) (A) USA,,General Science,Sports,Tokyo Olympics Gold Medals,CLASSIFIED
Q002853,69th BPSC,"Under the Mars Mission, which of the following Arab countries has launched its spacecraft (named Hope/Al-Amal) to Mars in the year 2020?",United Arab Emirates,Saudi Arabia,Kuwait,Egypt,(A) (A) United Arab Emirates,"United Arab Emirates (UAE) recently successfully launched its Hope Mission (Hope Probe Mission). This mission is the first interplanetary mission of an Arab country. This is a Mars mission.
UAE's spacecraft 'Hope' has entered the orbit of Mars in its first attempt.
With this it has become the fifth country after America, Soviet Union, Europe and India to launch a spacecraft into the orbit of Mars.

Note: - ""Shield"" Instead of landing the vehicle at a slow speed, NASA has designed an experimental lander which is called Shield, Simplified High Impact Energy Landing Device (SHILD).",Indian Economy,Development,Mars Mission,CLASSIFIED
Q002854,69th BPSC,Which is the first country in the world to provide free sanitary products to all women in their country?,USA,Switzerland,UK,Scotland,(D) (D) Scotland,"The Scottish government has passed a bill to provide free sanitary products to all women in the country, becoming the first country in the world to take such a step.

Note:- In January 2022, Kumbalangi village in Ernakulam district of Kerala became the first sanitary napkin free village in the country as 5000 special menstrual cups were given to women above 18 years of age in the village who can use them during menstruation.",Geography,Countries,UAE,CLASSIFIED
Q002855,69th BPSC,"The Quadrilateral Security Dialogue (QSD), also known as QUAD, is a group of which of the following countries?","India, USA, Japan and Taiwan","USA, India, Russia and Japan","USA, India, Australia and Japan","Japan, Philippines, Taiwan and South Korea","(C) (C) USA, India, Australia and Japan","Quadrilateral Security Dialogue (QUAD) is a platform for political dialogue of four countries (America, India, Japan and Australia). It was established in 2007 and after re-negotiations in 2017.

The basic objective of the formation of Quad is to establish peace and stability in the Indo-Pacific region and ensure adherence to law.
• Quad Leaders Summit meeting was held in Tokyo on May 24, 2022.

Note:-

On 2 April 2022, India-Australia have signed the Economic Cooperation and Trade Agreement (ECTA).
On 20 May 2023, Prime Minister Albanese of Australia held the Quad Leaders Summit in Hiroshima with Prime Minister Modi of India, Prime Minister Kishida of Japan and US President Biden. ,
In this Quad Leaders Summit, a joint statement and vision statement was issued by all four Quad leaders.",Indian Polity,International Relations,QUAD,CLASSIFIED
Q002856,69th BPSC,Who among the following decides to award the Nobel Peace Prize?,UNO,USA,Norwegian Government,Norwegian Nobel Committee,(D) (D) Norwegian Nobel Committee,"The Nobel Peace Prize is awarded by the decision of the Norwegian Nobel Committee. A group of five people is formed to select the annual winners of the Nobel Peace Prize. Members are appointed to the committee by the Storting (Norwegian parliament) for a term of 6 years.

CDPO (15.07.2018) BPSC",Indian Polity,Nobel Prizes,Nobel Peace Prize,CLASSIFIED
Q002857,69th BPSC,Which one among the following airports of India became the first airport to start the first helicopter texi(heli-taxi) service in India?,Rajiv Gandhi International Airport,Visakhapatnam Airport,Kempegowda International Airport,Jaipur International Airport,(C) (C) Kempegowda International Airport,"Bengaluru International Airport Limited became the first airport to provide helicopter services

India's first air taxi service has been launched from Chandigarh to Hisar (Haryana) in January 2021.
• It was flagged off by Haryana Chief Minister Manohar Lal Khattar.
Indira Gandhi International Airport in New Delhi has been ranked among the top 50 best airports in the world in the 2021 Skytrax World Airport Awards.",Geography,Rivers,Kosi River,CLASSIFIED
Q002858,69th BPSC,'Doorstep Delivery of Services Scheme' is started in which State?,Haryana,Delhi,Himachal Pradesh,Uttar Pradesh,(B) (B) Delhi,"With the door step delivery scheme, citizens of Delhi will be able to get many types of certificates and documents done sitting at home.

Schemes launched by Delhi Government –

• Vaccination scheme wherever there is vote
• Switch Delhi Scheme
• Angels of Delhi
Chief Minister Door-to-Ghar Ration Scheme
• Covid-19 Family Financial Assistance Scheme
• Apps run by Bihar Government – Hit Covid App, Sanjeevan App",Bihar Polity & Governance,Bihar Government Schemes,Doorstep Delivery of Services Scheme,CLASSIFIED
Q002859,69th BPSC,Who has sworn as the new Chief Minister of Tripura?,Conrad Sangma,Biplab Kumar Dev,Naifit Rio,Trivendra Rawat,(B) (B) Viplav Kumar Dev,"Present Chief Minister of Tripura – Prof. (Dr.) Manik Saha
• Present Governor of Tripura – Satyadev Narayan Arya
On September 1, 2021, in Tripura, Union Finance Minister Nirmala Sitharaman inaugurated the project named ‘My Pad, My Right’ launched by NABARD in Gomati district.
• In September 2022, Tripura government has launched “Ektu Khelo, Ektu Padho” scheme for students.
• In March 2022, the Tripura government has announced a special scheme for tea workers 'Mukhyamantri Cha Shram Kalyan Prakalp'",History of Bihar,Sher Shah Suri,Sher Shah Suri's Rule,CLASSIFIED
Q002860,69th BPSC,Which State of India has decided to build 'Bharat Mata Temple'?,Maharashtra,Rajasthan,Karnataka,Madhya Pradesh,(D) (D) Madhya Pradesh,"Presently – Chief Minister – Shivraj Singh Chauhan Governor – Mangubhai Chhaganbhai Patel

Schemes of Madhya Pradesh:

• MP Solution Port
• Bhulekh scheme
• Chief Minister Skill Promotion Scheme
• Launch Pad Scheme
• Chief Minister Medhavi Vidyarthi Yojana
• Jai Kisan Crop Loan Waiver Scheme
• MP Gramin Kamgar Setu Yojana
• PM Kusum Yojana
• National Family Assistance Scheme
• Chief Minister Economic Welfare Scheme",Art & Culture,Bihar Culture,Bharat Mata Temple,CLASSIFIED
Q002861,69th BPSC,Which Union Ministry launched the 'Stree Swabhiman' initiative?,Ministry of Labor and Employment,Ministry of Social Justice and Empowermen,Ministry of Women and Child Development,Ministry of Electronics and Information Technology,(D) (D) Ministry of Electronics and Information Technology,"Presently Minister of Electronics and Information Technology – Ashwini Vaishnav
India’s first ‘Quantum Computer Simulator (QSim) Toolkit’ was launched by the Ministry of Electronics and Information Technology (MeitY) in August 2021.
• According to the Ministry of Electronics and Information Technology, India's first Internet Governance Forum (IIGF) will be held in October, 2021.
Ministry of Electronics and Information Technology has released a five-year roadmap and vision document for the electronics sector titled “USD 300 Billion Sustainable Electronics Manufacturing and Exports by 2026”.
This roadmap sets a target to make electronics among India's 2-3 top ranking exports by the year 2026.

Note:-

Global Digital Public Infrastructure (DPI) Summit and Global Digital Public Infrastructure (DPI) Exhibition inaugurated by Union Minister of State for Electronics & Information Entrepreneurship and Minister of State for Skill Development & Entrepreneurship at the 3rd meeting of the Digital Economy Working Group (DIWG) of G-20 countries Minister, Shri Rajiv Chandrasekhar in the presence of Honorable Ministers of 9 countries namely Suriname, Armenia, Sierra Leone, Tanzania, Antigua and Barbuda, Kenya, Sri Lanka, Malawi and Trinidad and Tobago.",Indian Economy,Development,Stree Swabhiman Initiative,CLASSIFIED
Q002862,69th BPSC,"What is the theme of the 8th International Theater Olympics, 2018?",Flag of Music,Flag of Drama,Flag of Friendship,Flag of Art,(C) (C) Flag of Friendship,"The 8th International Theater Olympics 2018 was inaugurated by Vice President Venkaiah Naidu at the Red Fort.
The 9th International Theater Olympics was held in St. Petersburg (Russia) and Toyama (Japan) in 2019.
• 10th International Theater Olympics 2023

• Venue – Hungary Budapest, Hungary
Theme – O man, strive, strive, have faith; And trust' ('O Man, strive on, strive on, have faith; and trust')
• Director- Vidnyánszky Attila
What's special – The tenth edition focuses on supporting autonomy, independence and access to culture.",General Mental Ability & CSAT,Coding-Decoding,Coding-Decoding Puzzle,CLASSIFIED
Q002863,69th BPSC,"The World Future Energy Summit, 2018 was held in",Doha,Abu Dhabi,Tokyo,Geneva,(B) (B) Abu Dhab,"The World Future Energy Summit was organized in Abu Dhabi in the year 2020 in which a total of 170 countries participated. Theme- “Rethinking global consumption production and investment”.
World Future Energy Summit was organized in Abu Dhabi from 16 to 18 January 2023
To be held at ADNEC, Abu Dhabi from 16-18 Apri 2024.",Current Affairs,Science & Technology,"World Future Energy Summit, 2018",CLASSIFIED
Q002864,69th BPSC,"Which country has secured first position in the World Happiness Index, 2018?",Norway,Denmark,Iceland,Finland,(D) (D) Finland,"‘Global Happiness Report 2022’ published by “United Nations Sustainable Development Solutions Network” This year marks the 10th anniversary of the ‘Global Happiness Report’.

World Happiness Index 2021 –

• First place – Finland (among 149 countries)
• India's rank – 139 (140th in 2019)

World Happiness Index 2022 –

● First place – Finland (among 149 countries) (for the fifth consecutive time)
• India's rank – 136

Note:-

The largest increases in happiness were seen in Serbia, Bulgaria and Romania.
Afghanistan was ranked as the most unhappy nation followed by Lebanon, Zimbabwe, Rwanda and Botswana respectively.",Geography,World Rankings,"World Happiness Index, 2018",CLASSIFIED
Q002865,69th BPSC,The report “Turning Promises into Action : Gender Equality in the 2030 Agenda for Sustainble Development” is released by the :,UN Women,UN General Assembly,UNICEF,Committee on Gender Equality,(A) (A) U N women,"In the year 2015, in the United Nations General Assembly, the heads of state of the member countries unanimously accepted 17 development goals. The United Nations (UN) described these goals as important for a better future of the world and its implementation outline to achieve these goals by the year 2030 was shared with the member countries.

Note: In the year 2010, ‘U.N.’ was adopted by the United Nations General Assembly. Women' (UN Women) was formed.

It was formed by amalgamating the institutions DAW, INSTRAW, OSAGI and UNIFEM.",Indian Economy,Development,Turning Promises into Action : Gender Equality in the 2030 Agenda for Sustainble Development,CLASSIFIED
Q002866,69th BPSC,What is the name of the operation that was launched by the Government of India to provide help to the Rohingya refugees?,Pehal,Insaniyat,Jaldhara,Apna Ghar,(B) (B) Insaniyat,"Operation Insaniyat was launched by the Government of India to help the Rohingya refugees displaced from Myanmar.
After ousting the democratic government of Myanmar in July 2021, military dictator Min Aung Hlaing declared himself the new Prime Minister of the country.

Note: The National Unity Government (NUG) is a nominal government that was formed in April 2021 by combining a group of MPs elected in opposition to the military government. Dua Lashi is the acting Chairman of the NUG Government.",Current Affairs,Humanitarian Issues,Operation Rohingya,CLASSIFIED
Q002867,69th BPSC,The United Nations General Assembly has declared 2019 as the International Year of :,Pulses,Sustainable Tourism for development,Indigenous language,Light-based technology,(C) (C) Indigenous language,"• The United Nations declared the year 2021 as the Year of the Creative Economy for Sustainable Development.

International year

International Year for Cottage Fisheries and Aquaculture – 2022
The United Nations General Assembly unanimously accepted a resolution sponsored by India and declared the year 2023 as the ‘International Year of Millets’.
International Year of the Camelid – 2024 (The camelid group consists of six species – llamas, Bactrian camels, dromedary camels, wild Bactrian camels, alpacas, vicuñas and guanacos)
• international decade
Joint National Ecological Restoration Decade: 2021-30
● International Decade of Indigenous Languages: Year 2022-32",Current Affairs,International Relations,International Year of,CLASSIFIED
Q002868,69th BPSC,Which country became the 29th member of NATO in June 2017?,South Sudan,Albania,Belgium,Montenegro,(D) (D)Montenegro,"• NATO – North Atlantic Treaty Organization.
Established – 1949, Headquarters – Brussels, Belgium
30th member country – Macedonia; 31st member country – Finland
NATO summit was organized in Brussels (Belgium) in the year 2021
NATO summit held in Madrid, Spain from June 28 to 30, 2022.
The NATO summit of 2023 will be held in Lithuania.",Geography,World Rankings,NATO Membership,CLASSIFIED
Q002869,69th BPSC,"In December 2017, by amending the laws, which country has allowed the marriage between same sex?",Canada,Australia,Britain,America,(B) (B) Australia,"Netherlands is the first country to recognize homosexuality.
• Last countries – Germany and Malta
India is the second country in Asia after Taiwan to recognize same-sex marriage in 2019.",Current Affairs,National,Same-sex marriage in Ireland,CLASSIFIED
Q002870,69th BPSC,Recently UNESCO recognized which place of India as an “Intangible Cultural Heritage of Humanity’?,Kumbh Mela,Triveni Temple,Ajmer Dargah,Sundarban,(A) (A) Kumbh Mela,"In the year 2021, Kumbh was organized in Haridwar.

It is organized in Haridwar, Prayagraj, Ujjain and Nashik.

Note:- India has been elected as a member of UNESCO's Intergovernmental Committee for the Safeguarding of Intangible Cultural Heritage for the year 2022-2026. Before this, he had been a member of this inter-governmental committee from 2006 to 2010 and from 2014 to 2018.

● UNESCO Headquarters – Paris, France",Current Affairs,Science & Technology,UNESCO Intangible Cultural Heritage,CLASSIFIED
Q002871,69th BPSC,"What is the number of the agreement signed by PM Narendra Modi with French President Macron at Hyderabad House, New Delhi?",10,12,14,16,(C) (C) 14,"Recent military exercises between India and France
Varun-2021 – This is a naval exercise between the two countries which took place in the Arabian Sea.
Desert Night – 21 – This is an Air Force exercise which was conducted in Jodhpur.
“Yavhan Abhyas Shakti” is a military exercise between the armies of the two countries.

Note:- The seventh edition of the bilateral air exercise between the Indian Air Force (IAF) and the French Air and Space Force (FASF), 'Exercise Garuda-VII concluded at Air Force Station Jodhpur on 12 November 2022.",Current Affairs,National,India-France Agreement,CLASSIFIED
Q002872,69th BPSC,"Who has been given the first 'Mufti M. Sayeed Award for Probity in Public Life, 2018' by the Jammu and Kashmir Government ?",Mehbooba Mufti,Sushma Swara,Rajnath Singh,Nitish Kumar,(D) (D) Nitish Kumar,"Nitish Kumar took oath for the 8th time as Bihar in August 2022.

• Governor – Rajendra Arlekar",Indian Polity,Bihar,Mufti M. Sayeed Award,CLASSIFIED
Q002873,69th BPSC,Which State Government has imposed complete ban on manufacturing and sale-purchase of electronic cigarettes across the State?,Madhya Pradesh,Rajasthan,Uttar Pradesh,Bihar,(D) (D) Bihar,"On World No Tobacco Day, Rajasthan government imposed a complete ban on the manufacturing and sale of e-cigarettes. Apart from this, a complete ban has been imposed on it by Punjab, Maharashtra, Bihar, Kerala, Karnataka, Mizoram and Uttar Pradesh

• World No Tobacco Day – celebrated on 31 May.
• World No Tobacco Day 2022 Theme- “Protect the Environment”.
• World No Tobacco Day 2023 Theme- “We need food, not tobacco”
World No Tobacco Day is being celebrated since 1987.",Bihar Economy,Industry,Electronic Cigarettes Ban,CLASSIFIED
