Question ID,Subject,Topic,Subtopic,Question
Q001799,Indian Economy,Reserve Bank of India,Cash Reserve Ratio Impact,"If the cash reserve ratio is reduced by the Reserve Bank of India, it will have an impact on credit creation."
Q001800,Indian Economy,Indian Development Forum,Formerly Known As,Indian Development Forum (IDF) was formerly known as
Q001809,Indian Economy,Agriculture,Gross Domestic Product,The share of agriculture and its allied sectors in India's gross domestic product is-
Q001814,Indian Economy,Agriculture,Second Green Revolution in India,"What is true regarding the Second Green Revolution in India? 1. Its aim is to further increase the production of wheat and rice in areas that have already benefited from the Green Revolution. 2. It aims to expand seeds, fertilizers and technology to areas that have not yet benefited from the Green Revolution. 3. Its aim is to increase the production of crops other than those for which the Green Revolution has started. 4. Its aim is to integrate crop production with animal husbandry, social forestry and fisheries. Choose the correct answer from the feet given below –"
Q001815,Indian Economy,Energy,Energy Production and Consumption in India,Which of the following statements is not correct regarding energy production and consumption in India?
Q001816,History of India,Population,Population Characteristics of India (1991-2001),"Consider the following statements regarding the population characteristics of India - 1. In the decade 1991-2001, the population grew at the rate of about 21 percent 2. The gap between male and female literacy increased in 2001 compared to 1991. 3. According to the 2001 census, there are 35 such big cities in the country in which about 48 percent of the total urban population resides. 4. The 1991 census has indicated a decline in the number of unproductive consumers. Which of these statements are correct?"
Q001817,Indian Economy,Trade,India's Latest Export-Import Trade,"Consider the following statements regarding India's latest export-import trade: 1. Textile sector contributes 21 percent and gems and jewelery 17 percent in India's exports. 2. Western Europe and North America together account for 53 percent of India's exports and 40 percent of its imports. 3. Latin America, Sub-Saharan African and Middle East countries offer the most potential markets for Indian export trade. 4. India's participation in world exports is a little more than 2 percent. Which of these statements are correct?"
Q001822,Indian Economy,Five Year Plans,NABARD Establishment,National Bank for Agriculture and Rural Development (NABARD) was established during which five year plan period?
Q001823,Indian Economy,Five Year Plans,Second Five Year Plan Outline Preparation,Who had prepared the outline of the second five year plan?
Q001824,Indian Economy,Economic Planning,Concept,Economic Planning is a subject
Q001840,Indian Economy,Macroeconomic Variables,Money Supply Impact,The amount of money supply in the economy affects which of the following macroeconomic variables?
Q001841,Indian Economy,Tourism,Contribution to Economic Activity,The visit of foreigners to India to see various places or events in the country amounts to which of the following in terms of economic?
Q001842,Indian Economy,Union Budget,Grants-in-Aid Allocation,The grants-in-aid given by the Central Government to the State Government and local bodies for creation of capital assets are classified in the Union Budget under :
Q001843,Indian Economy,Money Supply,National Savings Certificates Account,The money accruing from the sale of ‘National Savings Certificates’ goes to which account of the Government of India?
Q001845,Indian Economy,Goods and Services Tax (GST),Revenue Neutral Tax Rate,What does ‘Revenue Neutral Tax Rate’ in reference to ‘Good and Services Tax (GST) ?
Q001846,Indian Economy,Agriculture,Agricultural Crop Year,"In India, the agricultural ‘crop year’ period is:"
Q001847,Indian Economy,Currency,Currency Notes Issuance,Who is responsible for currency notes of denomination two rupees and above?
Q001848,Indian Economy,National Income,National Income Calculation,By whom is the national income of India calculated?
Q001850,History of India,Population,Year of great divide,Which year is considered the year of great divide with regard to population growth of India?
Q001863,General Science,Energy,Renewable Energy Sources,Renewable Energy means 1. Electricity produced from solar 2. Electricity produced from thermal plant 3. Electricity produced from coal 4. Electricity produced from wind Choose the correct answer from the options given below:
Q001864,General Science,Atomic Theory,Dalton's Atomic Theory,Dalton's atomic theory successfully explained- i. Law of conservation of mass. ii. Law of constant composition. iii. Law of radioactivity. iv. Law of multiple proportion.
Q001865,General Science,Measurement,Meter for Distance,The meter that is used to measure the distance moved by the vehicle is known as-
Q001866,General Science,Heat Transfer,Radiation,Heat transfer that does not require a medium is called-
Q001867,General Science,Radiation,Gamma Radiation,Which of the following radiation is used to get relief from body aches?
Q001868,General Science,Forces,Non-Contact Force,Which of the following is a non-contact force?
Q001869,General Science,Electrical Resistance,Resistance of Wire,Which of the following is the resistance of the wire?
Q001870,General Science,Solar Energy,Solar Constant,Which of the following is the value of solar constant?
Q001872,General Science,Optics,Concave Mirror Image Position,"The image formed by a concave mirror is real, inverted and of the same size as the object. What should be the position of the object?"
Q001892,General Mental Ability & CSAT,Odd One Out,Which of the following is not a ‘vector quantity’,"If the spinning speed of the earth increases, then the weight of the body at the equator will"
Q001894,History of India,Albert Einstein,The ‘theory of relativity’ is presented by which scientist,The ‘theory of relativity’ is presented by which scientist?
Q001906,General Mental Ability & CSAT,Logical Reasoning,Incorrectly matched,Which of the following is not correctly matched?
Q001907,General Mental Ability & CSAT,Physics,Free fall,"If a feather, a rubber ball and a wooden ball are falling freely simultaneously from the same height in vacuum, then"
Q001999,General Science,Electronics,Telephone Transmission,Modern telephone uses
Q002002,General Science,Material Science,Glass Properties,"High voltage grid is used to transmit electricity, because -"
Q002004,General Science,Astronomy,Satellite Applications,Which of the following seed is used in production of engineered diamonds?
Q002011,General Mental Ability & CSAT,Chemical Reactions,Conductivity of Electrolyte,The conductivity of a strong electrolyte
Q002012,General Mental Ability & CSAT,Chemical Reactions,Ideal Solution,For two Liquids A and B to form an ideal solution?
Q002016,History of India,Science & Technology,John Dalton's Atomic Model,Who was the first one to propose a model for the structure of an atom?
Q002035,General Mental Ability & CSAT,Chemical Reactions,Odour of acetic acid,The odour of acetic acid resembles that of :
Q002036,General Mental Ability & CSAT,Chemical Reactions,Dry HCl gas and litmus paper,Why does dry HCl gas not change the color of dry litmus paper?
Q002038,General Mental Ability & CSAT,Chemical Reactions,Diamond and graphite properties,Which of the following statements about diamond and graphite is true?
Q002047,General Science,Energy,"Biogas Composition (Methane, Carbon Dioxide, Hydrogen Sulfide)",Which among the following is the main constituent of biogas?
Q002061,General Mental Ability & CSAT,Chemical Reactions,Limewater is turned milky by,Limewater is turned milky by:
Q002062,General Mental Ability & CSAT,Chemical Reactions,Incomplete burning of petrol and diesel produces,The incomplete burning of petrol and diesel produces :
Q002067,General Science,Minerals,Sapphire (Ruby) Chemical Formula,The chemical formula of Sapphire (Ruby) is :
Q002068,General Science,Economics,Petrol Quality Measurement,The quality of petrol is expressed by:
Q002075,Current Affairs,Chemistry,pH Value of Water,"The Nobel Prize in Chemistry, 2019 was awarded for the development of"
Q002084,General Science,Environment & Ecology,Greenhouse Gases,The main component of greenhouse gases is :
Q002090,General Science,Minerals,Non-Ferrous Metals,Which of the following is a non-ferrous metallic mineral?
Q002094,General Science,Atmosphere,Nitrogen,Alcohol can be converted into carboxylic acid by:
Q002097,General Science,Safety,Fire Extinguishers,How many carbon atoms is fullerene or buckyball made of?
Q002104,General Science,Materials Science,Galvanized iron pipes,Galvanized iron pipes have a coating of :
Q002111,General Science,Materials Science,Stainless steel,Stainless steel is an alloy of:
Q002112,General Science,Materials Science,Plaster of Paris,"To protect broken bones, plaster of paris is used. It is :"
Q002122,General Science,Earth Science,Minerals,In which of the following is the same type of atom found?
Q002143,General Science,Materials Science,Pure Iron,The purest form of iron is:
Q002147,General Science,Materials Science,Zinc Alloy,It is made from Zinc -
Q002157,General Science,Agriculture,Turmeric Plant,Turmeric powder is obtained from which part of turmeric plant?
Q002168,General Science,Agriculture,Fertilizers,Which component of fertilizer is used to promote quick growth?
Q002175,General Science,Science & Technology,mRNA,"What is the full form of the term mRNA, which has been widely discussed since the beginning of the pandemic?"
Q002178,Indian Economy,Agriculture,Linen,"Consider the following statements:: 1. Taeniasis is an intestinal infection caused by three species of tapeworms—Taenia solium, Taenia saginata, and Taenia asiatica. 2. When cysts develop in the brain, the condition is called neurocysticercosis (NCC). Which of the statements given above is/are correct?"
Q002198,General Science,Soils,Salt-loving plants,What are salt-loving plants called?
Q002199,General Science,Oceanography,Water absorption,Water passes from the soil into the roots by a physical process called :
Q002201,General Science,Environment & Ecology,Nighttime hazards,"In the nighttime, it is advised not to sleep under trees because :"
Q002203,General Science,Botany,Food distribution,Stem of a plant helps in distributing food to all parts of the plant. It also helps in :
Q002205,General Science,Anatomy,Pituitary gland,Pituitary gland is located in:
Q002208,General Science,Physiology,Pneumonia,Pneumonia is an infection of :
Q002211,General Science,Botany,True Fruits,"Among the following, which is not a true fruit?"
Q002212,General Science,Botany,Legumes Nutrition,Legumes are highly nutritious because they are rich in :
Q002213,General Science,Botany,Clove Source,"Clove, a spice, is obtained from which part of the plant?"
Q002215,General Science,Nutrition,Protein,Milk is a poor source of:
Q002220,General Science,Medicine,Thyroid Deficiency,The Malfunctioning of thyroid gland is due to the deficiency of :
Q002233,Geography,Ecology,The actual location or place where an organism lives is called,The actual location or place where an organism lives is called :
Q002247,General Science,Environment & Ecology,Which of the following activities increases oxygen in the carbon cycle taking place on Earth?,"Which of the following activities increases oxygen in the carbon cycle taking place on Earth? (A Respiration (E) None of the above/More than one of the above Answer – (D) Photosynthesis In the process of photosynthesis, green plants produce carbohydrates with the help of (light energy + CO2 + H2O) and produces oxygen. 90% of the total photosynthesis on Earth is done by aquatic plants and algae. 98. Select the vascular plant from the following"
Q002262,General Science,Agriculture,Cash Crops,Which of the following is not a cash crop?
Q002263,General Science,Agriculture,Crop Types,'Black Revolution' is related to
Q002264,General Science,Agriculture,Black Revolution,Which of the following is responsible for the controlling hereditary characters of the living cells?
Q002272,General Science,Environment,Chlorofluorocarbon,Match List-I with List-II and select the correct answer using the codes given below the lists: List-I a. Skin cancer List-II b. Noise pollution 1. Chlorofluorocarbon c. Global warming 2. Ultraviolet light d. Ozone hole 3. Decibel Code : a b c d
Q002274,General Science,Medicine,Radio isotopes for leukemia,Which of following radio isotopes is used in the treatment of blood cancer (leukemia)”
Q002279,Geography,States,Sultanpur Bird Sanctuary,Sultanpur Bird Sanctuary is located in:
Q002280,Geography,States,Uttarakhand,What is the per capita forest area (in average hectares) in India?
Q002284,General Science,Medicine,Cancer Treatment,Which of the following can cause cancer as well as cure it depending upon its intensity and use?
Q002285,General Science,Human Body,Blood Volume,The total volume of blood in a a normal adult human being is :
Q002286,General Science,Diseases,Typhoid and Cholera,Typhoid and cholera are typical examples of-
Q002287,General Science,Human Body,Energy Storage,Energy is stored in the liver and muscles in the form of :
Q002289,General Science,Evolution,Biodiversity,The reason of large-scale diversity among the organisms is :
Q002290,General Science,Ecology,Vermiculture,What is vermiculture?
Q002305,Indian Economy,Agriculture,Wheat production,The maximum wheat producing state of India is–
Q002314,Geography,States,Coffee production in India,Which is the largest coffee producing state in India?
Q002322,Indian Economy,Agriculture,Major Crops,The type of joint found at shoulder is also found at :
Q002325,General Mental Ability & CSAT,Odd One Out,Classification & Odd One Out,The incubation period of hepatitis B virus is :
Q002340,Indian Economy,Industry,Reliance Industries Market Capitalization 2023,Which country hosted the 2022 Winter Olympics?
Q002345,Current Affairs,Geography,State Ranking - SDG India Index 2023,Which Indian State topped the NIT Aayog’s SDG India Index 2023?
Q002346,Current Affairs,Sports,20th Asian Games 2026 Host Country,Which of the following country is going to host 20th Asian games 2026?
Q002347,Current Affairs,Culture,City of Literature - UNESCO,In Indian which of the following city has been declared as the first “City of Literature” by UNESCO?
Q002348,Current Affairs,Politics,Prime Minister of Italy,Who is the Prime Minister of Italy as of 2024?
Q002349,Current Affairs,Politics,President of France 2022,Which field game is most popular in the world?
Q002351,Current Affairs,Politics,Re-elected President of France 2022,The number of scientific payloads of Aditya L-1 mission for systematic study of Sun is
Q002360,Current Affairs,Constitution,Eligibility age for senior citizens to vote by postal ballot (post-March 2024),"What is the eligibility age, after the changes made in March 2024, for senior citizens to vote by postal ballot?"
Q002361,Current Affairs,United Nations,UN Security Council vote on Palestine membership (April 2024),"In April 2024, how many members of the UN Security Council either rejected or abstained from voting for the proposal to allow Palestine to become a full member of the UN?"
Q002362,Current Affairs,Agriculture,Oilseeds not covered under 'Atmanirbharta' (April 2024),"In the Union Budget speech for 2024-25, which oilseeds were noted as not being covered under the goal of 'Atmanirbharta' (self-reliance) for oil?"
Q002367,Current Affairs,Rivers,Kosi-Mechi Link Project,"Where was the top leader of Hamas, Ismail Haniyeh, assassinated on 31st July 2024, allegedly in an Israeli airstrike ?"
Q002370,Current Affairs,Development,GVA sectoral shares FY 2023-24,"What were the shares of the Agriculture, Industry and Services sectors in overall GVA at current prices in Financial Year 2024 according to the Economic Survey 2023-24?"
Q002372,Indian Economy,Human Development,Female Labour Force Participation Rate increase 2017-18 to 2022-23,"By how much did the Female Labour Force Participation Rate increase from 2017-18 to 2022- 23, according to the National Sample Survey Office (NSSO)?"
Q002373,Current Affairs,International Organizations,BRICS chairmanship 2024,"Which country took over the chairmanshiP of BRICS on January 1, 2024?"
Q002374,Current Affairs,Banking,RBI headline inflation projection FY 2025,"According to the Reserve Bank of India (RBI), what is the headline inflation projection for FY 2025?"
Q002376,Current Affairs,International Organizations,13th Ministerial Conference of World Trade Organization (WTO) location,Where was the 13<sup>th</sup> Ministerial Conference of World Trade Organization (WTO) held in February 2024?
Q002380,Current Affairs,Development,Aman Sehrawat World Wrestling Olympic Qualifiers 2024,"In which one of the following Freestyle weight categories, Aman Sehrawat became the first Indian male wrestler to quality for the 2024 Paris Olympics at the World Wrestling Olympic Qualifiers, Turkiye in May 2024?"
Q002381,Current Affairs,Budget,Highest allocation in Bihar Budget 2024-25,Which sector received the highest allocation in the Bihar Budget 2024-25?
Q002382,Current Affairs,Supreme Court,Justice N. Kotiswar Singh's previous High Court,"Before his appointment as a judge of the Supreme Court of India in July 2024, Justice N. Kotiswar Singh was the Chief Justice of which High Court?"
Q002384,Current Affairs,Sports,Men Singles title at French Open 2024,Who won the Men Singles title at the French Open Tennis Tournament 2024?
Q002386,Current Affairs,Social Issues,Manvi Madhu Kashyap - First transgender MLA,"Shreyasi Singh, Member of the Legislative Assembly, who has represented India in shooting in Paris Olympics 2024 was elected from which constituency in Bihar?"
Q002387,Indian Polity,Legislative Assembly,Shreyasi Singh's constituency,Which of the following is full form of PCRA?
Q002388,Current Affairs,Coding-Decoding,PCRA full form,What is the title of the film by Payal Kapadia for which she became the first Indian filmmaker to win the Grand Prix Award at the cannes Film Festival in May 2024?
Q002390,Current Affairs,Indian Society,"Arti, Amal Clooney Women’s Empowerment Award","What is the current profession of the voung U.P Woman, Arti, who was conferred the Amal Clooney Women’s Empowerment Award by the King Charles III in May 2024?"
Q002391,Current Affairs,International Relations,Country brought soil from the dark side of the moon,Which country became the first to bring soil from the dark side of the moon in June 2024?
Q002392,Current Affairs,International Relations,NATO membership,"After remaining neutral for almost 200 years, which one of the following countries officially joined the NATO in March 2024?"
Q002396,Current Affairs,Politics,Former President of the United States of America interview,Where did the former President of the United States of America give his recent interview?
Q002397,Current Affairs,Sports,"Flushing Meadows, French Open, Venus Rosewater Dish, Wimbledon Trophy (Women), Roland Garros, US Open, Australian Open (women): Daphne Akhurst Memorial Cup","With reference to sports, which of the following pairs are correctly matched? 1. Flushing Meadows: French Open 2. Venus Rosewater Dish: Wimbledon Trophy (Women) 3. Roland Garros : US Open 4. Australian Open (women): Daphne Akhurst Memorial Cup Select the correct answer using the code given below."
Q002398,Current Affairs,General Science,Mother Tongue Survey of India (MTSI) field videography,The Ministry of Home Affairs has completed the Mother Tongue Survey of India (MTSI) work with field videography of how many languages of the country in November 2022?
Q002399,Current Affairs,Environment & Ecology,"SLCCVC, Vulture Conservation, National Park",Which state government launched the State-Level Committee for Vulture Conservation (SLCCVC) proposed by National Action for Conservation of Vultures in India?
Q002400,Current Affairs,Environment & Ecology,"Asian giant tortoises, National Park","Ten captive-bred Asian giant tortoises (Manouria amys), one of the largest tortoise species in mainland Asia, were recently released in which national park in India?"
Q002408,Geography,Miscellaneous,UNESCO World Heritage Site,Which of the following is not a UNESCO World Heritage Site?
Q002417,Geography,World Landmarks,White House,"With regard to the White House, consider the following statements: 1. The White House address is 1800 Pennsylvania Avenue. 2. It is the official residence and work place of the President of the United States. 3. On November 1, 1800, John Adams became the first president to reside in the building. 4. It is a symbol of American democracy. Which of the above statements is correct?"
Q002418,Indian Economy,Energy,Net Metering,Net metering is sometimes seen in the news in the context of the promoting
Q002424,Geography,World Landmarks,UNESCO World Heritage List,Which of the following has been added to the UNESCO World Heritage List in 2022?
Q002429,Current Affairs,Development,Mother Tongue Survey of India,Which of the following Union Ministry recently launched the YUVA 2.0 Scheme in 2022?
Q002441,Current Affairs,Literature,Seven Moons of Maali Almeida,"Who among the following recently received the 2022 Booker Prize for his novel, the Seven Moons of Maali Almeida?"
Q002444,Current Affairs,Language,Collins Dictionary’s Word of the Year 2022,Which of the following is Collins Dictionary’s word of the year 2022?
Q002446,Geography,Countries,Senegal & France,The Embassy of which country applied for a GI tag for Nihonshu for the first time in India?
Q002447,Current Affairs,GI Tag,Nihonshu,Which of the following space agencies announced that it had successfully used steam to propel its EQUULEUS spacecraft?
Q002454,Current Affairs,Constitution,G20 Summit 2023,Which Indian State/UT has been chosen to host the G20 Summit in 2023?
Q002457,Geography,Countries,Arktika-M Satellite,Which country launched its first satellite 'Arktika-M' to monitor the climate of the Arctic?
Q002459,Current Affairs,Health,Complete COVID-19 Vaccination Campaign,What is the name of the campaign launched to ensure complete COVID-19 vaccination (in June 2022)?
Q002460,Indian Polity,Bihar Polity & Governance,Maharashtra Chief Minister 2022,Who is the new Chief Minister of Maharashtra after June 30th. 2022?
Q002467,Indian Polity,Presidential Election,UPA Candidate,Who was the candidate of the United Progressive Alliance (UPA) in 15<sup>th</sup> Presidential Election in India?
Q002468,Current Affairs,International Relations,International Booker Prize,"Who has received the International Booker Prize for her novel, Tomb of Sand (Ret Samadhi)?"
Q002469,General Science,Sports,"Elavenil Valarivan, Shreya Agarwal, Ramita",Who has been awarded with the Dadasaheb Phalke Indian Television Award in 2022 from Bihar?
Q002471,Bihar Economy,Social Schemes,Sunandini Programme,‘Sunandini Programme’ is related to –
Q002472,Indian Economy,Budget,Budget 2022-23 Priorities,Which of the following is not included in the priorities of India's Budget 2022-23?
Q002484,Bihar Economy,External Sector,Bare Necessities Index (BNI),"With reference to Bare Necessities Index (BNI), consider the following statements: 1. The Economic Survey has come up with the Bare Necessities Index at rural and urban levels. 2. The BNI has been created for all States for 2018 only 3. The BNI is based on 26 indicators.. 4. The BNI consists of six dimensions. Which of the above statements are correct?"
Q002498,History of India,Sports,"Gold Medal for India won in the Olympics, 2021","In which game was the Gold Medal for India won in the Olympics, 2021?"
Q002501,History of India,International Relations,US Evacuation from Afghanistan,"When the US evacuated its troops from Afghanistan, who was the last American solider to leave Kabul?"
Q002503,History of India,Geography,Galwan Valley Clash between India and China,When did the clash between the soldiers of Indian and China take place in the Galwan Valley?
Q002504,Current Affairs,International Relations,Pegasus Spyware Development by US,In which country the Pagasus spyware has been development?
Q002505,Current Affairs,Social Issues,Fit India Movement Mantra,"On the occasion of the first anniversary of the Fit India Movement, who gave the Mantra, Fitness ki Dose, Aadha Ghanta Roz, (Fitness Dose, Half an Hour Daily)?"
Q002506,Current Affairs,Political Events,First Anniversary of Fit India Movement,"On the one hundred birth anniversary of Rajmata Vijay Raje Scindia, Prime Minister Narendra Modi released a:"
Q002507,History of India,Arts & Culture,Chi Lupo Documentary Film winning Dadasaheb Phalke Award,Which state's short documentary film 'Chi Lupo has won the Dadasaheb Phalke Award. 2020?
Q002508,Current Affairs,Banking,e-Kisan Dhan App launched by Private Sector Bank,Which private sector bank has launched 'e-Kisan Dhan' app for farmers?
Q002510,History of India,Indian Armed Forces,Rafale fighter aircraft,Rafale fighter aircraft has been formally inducted into the Indian Air Force at which Air Force Station?
Q002516,Indian Economy,Industry,Defence Research and Development Organisation,Who is the Chairman of the Defence Research and Development Organisation?
Q002520,Geography,Coastal Security,Indian beaches Blue Flag certification,How many Indian beaches have been recommended for Blue Flag certification recently?
Q002518,Current Affairs,Nobel Peace Prize,"Nobel Peace Prize, 2020","Who has been selected for the Nobel Peace Prize, 2020?"
Q002527,Geography,Countries,Nuclear Power Plant,Which Arab state has started first nuclear power plant?
Q002528,Indian Polity,International Organisations,International Labour Organisation’s Governing Body,Which country assumed the role of Chairman of the International Labour Organisation’s Governing Body for the period of October 2020 till June 2021?
Q002529,Current Affairs,Development,Operation My Saheli,'Operation My Saheli' launched in September 2020 aims:
Q002530,Geography,Countries,Largest Indian Population,"As of December 2018, which of the following countries in the world has the largest Indian population?"
Q002532,Indian Polity,National Commission for Women,Head of National Commission for Women,Who is the present head of the National Commission for Women?
Q002538,Indian Economy,Budget,PM Awas Yojana - Key Schemes,"Pradhan Mantri Awas Yojana – 79,590 crores 2. Jal Jeevan Mission –70,000 crore 3. MNREGA – 60,000 crores 4. Prime Minister Kisan Samman –60,000 crore Nidhi (PM Kisan) 200. Which was the first Arab country to sign a peace agreement with Israel?"
Q002539,Indian Polity,International Relations,First Arab Country to Sign Peace Agreement with Israel,When was the Citizenship (Amendment) Act passed?
Q002541,Geography,Infrastructure Projects,13th Major Port of India,The name of India's first indigenous antiradiation missile is
Q002542,History of India,Personalities,Kamala Harris's Ancestral Village,Ancestral village of Kamala Harris is situated in which district of Tamilnadu?
Q002543,Geography,Wildlife Sanctuaries,Salim Ali Bird Sanctuary,Where is ‘Salim Ali Bird Sanctuary’ located?
Q002544,Geography,Geographical Locations,Salim Ali Bird Sanctuary Location,Which portal has been launched by the Ministry of Human Resource Development to improve the education system in India?
Q002555,General Mental Ability & CSAT,Rivers,Ahmedabad-Gujarat,Which country has sister-state relationship with Ahmedabad?
Q002566,General Mental Ability & CSAT,Thinkers,I am no Messiah,Which one is correct in the ascending order of HDI 2019 ranking of the following countries?
Q002568,Society,Thinkers,A Gallery of Rascals,Who is the author of the book ‘A Gallery of Rascals’?
Q002570,History of India,Olympics,2020 Summer Olympics,Where will the Summer Olympic Games be held in 2020?
Q002574,History of India,Biographies,Mukund Padmanabhan,Who became the editor of the newspaper The Hindu after Mukund Padmanabhan?
Q002576,Geography,Districts,Megalithic Site Documentation,"In July 2019, experts visited for the first documentation of a Megalithic site of Bihar in Which of the following districts?"
Q002578,Geography,Countries,Paraguay,"Recently, ISRO and CNES signed an agreement to set up a joint maritime surveillance system. CNES is a space agency of which country?"
Q002579,Geography,Capitals,Paraguay Capital,What is the capital of Paraguay to which the Vice President of India paid a visit in March 2019?
Q002580,Geography,UN Environment Assembly,UNEA-4,Where was the 4<sup>th</sup> Session of the UN Environment Assembly (UNEA-4) held recently?
Q002582,Indian Polity,Bihar Legislature,Chief Minister of Goa,Who succeeded Manohar Parrikar as the Chief Minister of Goa on his deth recently?
Q002587,Indian Economy,Agriculture,second fastest batsman to score 25 countries in the test format after Sir Don Bradman,Who is the second fastest batsman to score 25 countries in the test format after Sir Don Bradman?
Q002591,Indian Polity,Bihar Administration,Permanent Representative of India in the UN before Syed Akbaruddin,Who was the Permanent Representative of India in the UN before Syed Akbaruddin?
Q002597,Indian Polity,Social Issues,Mob Lynching,Which state has recently passed an Act against 'Mob Lynching and Honor Killing'?
Q002598,Indian Economy,Industry,Private Train,The name of India's first private train is
Q002599,Society,Sports,Deepa Malik (Para-sports),"Who is the winner of the trophy of T-20 Physical Disability World Cricket Series, 2019."
Q002600,Indian Polity,Awards,Padma Shri (Deepa Malik),Deepa Malik is related to which sport?
Q002604,Society,Sports,Bhagirathi Devi (Weightlifting) – Padma Shri 2019}]} 1.  {,In which field was Bhagirathi Devi given the Padma Shri award in January 2019?
Q002611,Current Affairs,Development,Jal Jeevan Mission,"For which year, the target has been set by 'Jal Jeevan Mission' to ensure 'water in every house for all rural families?"
Q002615,History of India,Arjuna Award,1961,In which year did Arjuna Award started?
Q002616,Indian Polity,Internal Security,Cybersecurity,Defence Minister of India Smt. Nirmala Sitharaman made a three-day visit to which nation the first week of October 2018?
Q002622,Geography,Countries,Emmerson Mnangagwa,Emmerson Mnangagwa was elected as the President of which country in presidential elections held in November 2017?
Q002623,Current Affairs,Political Events,Emergency declaration,"On 20<sup>th</sup> July, 2018, which nation ended emergency after two years?"
Q002624,Current Affairs,Health,Polio outbreak,Which of the following nations declared emergency due to polio outbreak in June 2018?
Q002625,Current Affairs,Sports,Cricket Asia Cup,"For how many times, India won the Cricket Asia Cup on 29<sup>th</sup> September, 2018 defeating Bangladesh?"
Q002626,Current Affairs,Sports,18th Asian Games 2018 (Jakarta) - Medal tally,"Which of the following is the correct order of medals won by India in the 18th Asian Games, 2018 (Jakarta)? (E) None of the above/More than one of the above In the 8th Asian Games 2018 held in Jakarta, India stood 8th in the medal table by winning 15 gold, 24 silver and 30 bronze medals (total 69 medals). • 19th Asian Games 2022- Hangzhou (China) • 20th Asian Games 2026- Nagoya (Japan) Note:- Due to the increasing COVID-19 outbreak in China, the Asian Games 2022 will be held from September 23 to October 8, 2023. 289. Which is the first Indian airline company that used biofuel as ATF in August 2018?"
Q002628,Geography,Civilizations,Indus Valley Civilization - Rainfall duration,"According to the report of IIT, Kharagpur, study group, continuous low rainfall for how many years was the cause of fall of the Indus Valley Civilization?"
Q002630,General Mental Ability & CSAT,Champaran Satyagraha,Brother-sister,"In January 2018, which Indian State allowed people to establish a humanitarian relationship with trees. i.e. brother-sister?"
Q002633,General Science,Science & Technology,Indian Railway University,In which of the following institutions was the first Indian Railway University established in September 2018?
Q002639,Indian Economy,Industries,Electric Locomotive Engine,The capacity of India’s most poweful electric locomotive engine made in Madhepura Locomotive Factory is :
Q002629,Environment & Ecology,Forestry,India Forest Status Report 2018,"According to India Forest Status Report released in February 2018, how much area of India is covered by forest?"
Q002646,History of India,International Relations,Harimau Shakti 2018 India-Bangladesh military exercise,Bilateral military exercise 'Harimau Shakti 2018' has been conducted between India and which country?
Q002649,Geography,Cities,India's first nationwide food archeology conference 'Archaeobroma',Which city hosted India's firstever nationwide food archeology conference 'Archaeobroma'?
Q002652,General Mental Ability & CSAT,Miscellaneous,State with most number of beggars Ministry of Social Justice,"Which State has topped the list of States with most number of beggars, as per data released by the Union Ministry of Social Justice?"
Q002654,History of India,Sports,Men’s 25 m Rapid Fire Pistol Event,Which Indian sports person has bagged Gold in the Men’s 25 m Rapid Fire Pistol Event at the 2018 ISSF Junior Shooting World Cup in Sydney?
Q002661,Indian Economy,Industry,Mobile phone production position,"According to the recent data released by Indian Cellular Association (ICA), India has acquired what position in the world in producing mobile phones ?"
Q002662,Bihar Economy,Social Welfare Schemes,Rupashree Scheme,Which State Government has rolled out ‘Rupashree Scheme’ for marriage of poor girls?
Q002663,History of Bihar,Social Movements,Think Tank on Framework for National Policy on E-Commerce,
Q002672,History of India,US Politics,Donald Trump-Presidential Nominee,The elected US President Donald Trump was the presidential nominee of the :
Q002675,Current Affairs,Literature,Nobel Prize in Literature 2016 Winner,The 2016 Nobel Prize in literature was won by:
Q002676,Indian Polity,United Nations,Secretary General of the United Nations,Who is the new Secretary General of the United Nations?
Q002686,Current Affairs,Sports,Davis Cup Tennis Tournament winner,Which country has won the 2016 Davis Cup Tennis Tournament?
Q002691,History of India,Athletes,Gautam Gambhir,What was the theme of the 2016 Rio Olympics?
Q002692,Current Affairs,Awards,Rabindra Nath Tagore,Who has been conferred with the 2015 Jnanpith Award?
Q002693,Indian Economy,Sports,Mahendra Singh Dhoni,"The book ""Six Machine: I Don't Like Cricket I Love It"" is the autobiography of which cricketer?"
Q002694,Geography,Pipelines,Iran-Pakistan Gas Pipeline,Iran-Pakistan Gas Pipeline is also called as:
Q002696,Current Affairs,Sports,FIFA World Cup 2022,The FIFA World Cup 2022 will be held in :
Q002698,Indian Economy,Social Welfare,Mental Health Policy,The Union Health Minister launched Mental Health Policy on :
Q002699,Current Affairs,Government Schemes,Saansad Adarsh Gram Yojana,Prime Minister Narendra Modi launched Saansad Adarsh Gram Yojana on :
Q002707,Geography,International,Country making military service compulsory for adult males,Which one of the following countries has decided in January 2014 to make military service compulsory for all its adult males?
Q002711,Indian Polity,International,UN Security Council membership,"In October 2014, India has been reelected for three years as a member to:"
Q002715,Current Affairs,Sports,Champions League T-20,"Who was the winner of Champions League T-20, 2014?"
